Month,Sales
1987-01,1664.81
1987-02,2397.53
1987-03,2840.71
1987-04,3547.29
1987-05,3752.96
1987-06,3714.74
1987-07,4349.61
1987-08,3566.34
1987-09,5021.82
1987-10,6423.48
1987-11,7600.6
1987-12,19756.21
1988-01,2499.81
1988-02,5198.24
1988-03,7225.14
1988-04,4806.03
1988-05,5900.88
1988-06,4951.34
1988-07,6179.12
1988-08,4752.15
1988-09,5496.43
1988-10,5835.1
1988-11,12600.08
1988-12,28541.72
1989-01,4717.02
1989-02,5702.63
1989-03,9957.58
1989-04,5304.78
1989-05,6492.43
1989-06,6630.8
1989-07,7349.62
1989-08,8176.62
1989-09,8573.17
1989-10,9690.5
1989-11,15151.84
1989-12,34061
1990-01,5921.1
1990-02,5814.58
1990-03,12421.25
1990-04,6369.77
1990-05,7609.12
1990-06,7224.75
1990-07,8121.22
1990-08,7979.25
1990-09,8093.06
1990-10,8476.7
1990-11,17914.66
1990-12,30114.41
1991-01,4826.64
1991-02,6470.23
1991-03,9638.77
1991-04,8821.17
1991-05,8722.37
1991-06,10209.48
1991-07,11276.55
1991-08,12552.22
1991-09,11637.39
1991-10,13606.89
1991-11,21822.11
1991-12,45060.69
1992-01,7615.03
1992-02,9849.69
1992-03,14558.4
1992-04,11587.33
1992-05,9332.56
1992-06,13082.09
1992-07,16732.78
1992-08,19888.61
1992-09,23933.38
1992-10,25391.35
1992-11,36024.8
1992-12,80721.71
1993-01,10243.24
1993-02,11266.88
1993-03,21826.84
1993-04,17357.33
1993-05,15997.79
1993-06,18601.53
1993-07,26155.15
1993-08,28586.52
1993-09,30505.41
1993-10,30821.33
1993-11,46634.38
1993-12,104660.67
